['﻿III_X', '-', '-', '-', '-', '-', '-']
['Y26', '-', '-', '-', '-', '-', '-']
['Y27', '-', '-', '-', '-', '-', '-']
['Y34', 'Y38', 'Y6', '-', 'Y6', '-', '-']
['Y24', 'Y25', 'Y9', '-', 'Y7', '-', '-']
['Y20', 'Y21', '-', '-', 'Y10', '-', '-']
['Y30', 'Y31', 'Y20', 'Y21', 'Y2', '-', '-']
['Y65', '-', '-', '-', 'Y57', 'Y66', '-']
['Y48', '-', '-', '-', 'Y54', 'Y55', '-']
['Y49', '-', '-', '-', 'Y54', 'Y55', '-']
['Y65', '-', '-', '-', 'Y57', 'Y66', '-']
['Y67', 'Y68', '-', '-', 'Y43', '-', '-']
['Y34', 'Y38', '-', '-', 'Y20', 'Y21', '-']
['Y37', '-', '-', '-', '-', '-', '-']
['Y33', '-', '-', '-', '-', '-', '-']
['Y62', 'Y76', '-', '-', '-', '-', '-']
['Y56', '-', '-', '-', '-', '-', '-']
['Y61', '-', '-', '-', 'Y67', 'Y68', '-']
['Y59', '-', '-', '-', 'Y84', '-', '-']
['Y60', '-', '-', '-', '-', '-', '-']
['Y50', 'Y51', '-', '-', 'Y67', 'Y68', '-']
['-', '-', '-', '-', '-', '-', '-']
['Y44', '-', '-', '-', '-', '-', '-']
['Y52', 'Y53', '-', '-', '-', '-', '-']
['Y70', 'Y71', '-', '-', '-', '-', '-']
['Y58', '-', '-', '-', '-', '-', '-']
['Y74', 'Y75', '-', '-', 'Y72', 'Y73', 'Y79']
['-', '-', '-', '-', '-', '-', '-']
['Y4', '-', '-', '-', '-', '-', '-']
['-', '-', '-', '-', '-', '-', '-']
['Y46', '-', '-', '-', 'Y67', 'Y68', '-']
['Y63', 'Y64', '-', '-', 'Y83', '-', '-']
['Y54', 'Y55', '-', '-', 'Y48', 'Y49', '-']
['Y45', '-', '-', '-', 'Y67', 'Y68', '-']
['Y36', '-', '-', '-', '-', '-', '-']
['Y0', '-', '-', '-', '-', '-', '-']
['Y30', 'Y31', 'Y12', '-', 'Y67', 'Y68', '-']
['Y8', '-', '-', '-', 'Y1', '-', '-']
['Y32', '-', '-', '-', '-', '-', '-']
['Y28', 'Y29', '-', '-', '-', '-', '-']
['Y14', '-', '-', '-', 'Y30', 'Y31', 'Y12']
['Y22', 'Y23', '-', '-', '-', '-', '-']
['Y15', '-', '-', '-', 'Y3', 'Y5', '-']
['Y42', '-', '-', '-', '-', '-', '-']
['Y16', 'Y17', '-', '-', 'Y30', 'Y31', 'Y12']
['Y11', '-', '-', '-', 'Y41', '-', '-']
['Y18', 'I_N1p2', '-', '-', 'Y39', '-', '-']
['Y13', '-', '-', '-', '-', '-', '-']
['Y34', 'Y38', '-', '-', '-', '-', '-']
['Y77', '-', '-', '-', '-', '-', '-']
['Y56', '-', '-', '-', 'Y74', 'Y75', '-']
['Y78', '-', '-', '-', 'Y47', 'Y78', 'Y80']
['-', '-', '-', '-', '-', '-', '-']
['Y46', '-', '-', '-', 'Y63', 'Y64', '-']
['-', '-', '-', '-', '-', '-', '-']
['-', '-', '-', '-', '-', '-', '-']
['-', '-', '-', '-', '-', '-', '-']
['-', '-', '-', '-', '-', '-', '-']
['-', '-', '-', '-', '-', '-', '-']
['-', '-', '-', '-', '-', '-', '-']
